id:ID(Action),uuid,:LABEL,events,max_call,max_timestamp,mean_call,mean_timestamp,min_call,min_timestamp,num_of_borrow,num_of_deposit,num_of_liquidity,num_of_swap
Action458115,6a108486-e778-4a75-9cf7-cfe4cb371ce0,Action,"['Swap', 'Transfer']",70495,1677631427,9,1675081325,1,1672531223,0,0,0,1
Action458116,fbda2cf9-547f-4c85-8c6b-4adefacd14c6,Action,"['Approval', 'DelegatedPowerChanged', 'Transfer']",1031,1677623651,7,1675077437,1,1672531223,0,0,0,0
Action458117,49116b8e-343f-416a-a1a0-68b1c40f0d47,Action,"['Approval', 'Transfer']",46964,1677631331,7,1675081289,1,1672531247,0,0,0,0
Action458119,04b77112-933a-494a-861c-1508716bc994,Action,['Transfer'],64375,1677631427,9,1675081337,1,1672531247,0,0,0,0
Action458121,2703e644-6b28-4172-a891-0e2d3dd3fe8c,Action,['Withdrawal'],6729,1677631427,2,1675081337,1,1672531247,0,0,0,0
Action458124,cbcc058f-5e1f-4e97-9a29-1fa35115bc10,Action,['IncreaseLiquidity'],7551,1677631427,5,1675081337,1,1672531247,0,0,1,0
Action458125,ec8c1468-5ec4-44d8-99ad-4f29c615f245,Action,"['Approval', 'Swap', 'Transfer']",21250,1677631391,7,1675081319,1,1672531247,0,0,0,1
Action458126,c0d73ccd-a86e-44db-9ac3-260b8ba6eb09,Action,"['Collect', 'Transfer']",22301,1677631283,9,1675081283,1,1672531283,0,0,0,0
Action458129,7243e79a-2058-48c8-bb63-d6b9308331ea,Action,['Burn'],7551,1677631355,5,1675081319,1,1672531283,0,0,0,0
Action458130,56563a36-831a-4fd6-b57c-8bf9a5ae6b64,Action,['DecreaseLiquidity'],7550,1677631259,5,1675081271,1,1672531283,0,0,1,0
Action458131,01892265-d2d5-4370-ac17-e1c66ddb4e3d,Action,['Approval'],24882,1677631427,3,1675081355,1,1672531283,0,0,0,0
Action458132,6c845def-489a-4475-b0ca-74317266fc9f,Action,['Mint'],7281,1677631427,5,1675081355,1,1672531283,0,0,0,0
Action458133,d7f135de-c0ae-49f5-9f4e-b941ca369afd,Action,['Swap'],40668,1677631427,5,1675081337,1,1672531247,0,0,0,1
