id:ID(Token),address,:LABEL,ath,created_at,fdv_to_tvl_ratio,mcap_to_tvl_ratio,name,symbol,total_supply,total_value_locked,usd_price
Token448401,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,Token,661.69,,0.22,0.21,Aave,AAVE,16000000.0,19271042887.0,271.2675173691
Token448424,0xf4d2888d29D722226FafA5d9B24F9164c092421E,Token,0.0,0,0.0,0.0,LooksRare,LOOKS,0.0,0.0,0.0204346734
Token448657,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,Token,0.0,0,0.0,0.0,Decentraland,MANA,0.0,0.0,0.0
Token448963,0x1e4746dC744503b53b4A082cB3607B169a289090,Token,0.0,0,0.0,0.0,IPOR,IPOR,0.0,0.0,0.0
Token448986,0xDe30da39c46104798bB5aA3fe8B9e0e1F348163F,Token,22.37,,,,Gitcoin,GTC,100000000.0,,0.0
Token449248,0xdADc9459c36b345e2e2007D2d2746F44A0B3B2df,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token450168,0xA8b919680258d369114910511cc87595aec0be6D,Token,0.0,0,0.0,0.0,LUKSO [Old],LYXe,0.0,0.0,0.0
Token450617,0x7b26F8c27da4b273BCaaE9570C4C5aDa16c1a1E4,Token,0.0,0,0.0,0.0,Hand of Midas,MIDAS,0.0,0.0,0.0
Token450825,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Token,4799.89,2016-06-17,,,WETH,WETH,2813182.988647283,,0.0
Token451128,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,Token,0.0,0,0.0,0.0,Uniswap V3 Positions NFT-V1,UNI-V3-POS,0.0,0.0,0.0
Token451366,0xEcaD393401a0378B3c4904e477396E6c513aBCB2,Token,0.0,0,0.0,0.0,wTwitter Coin,wTWTC,0.0,0.0,0.0
Token451523,0x514910771AF9Ca656af840dff83E8264EcF986CA,Token,0.0,0,0.0,0.0,Chainlink,LINK,0.0,0.0,0.0
Token451873,0x4a220E6096B25EADb88358cb44068A3248254675,Token,427.42,2018-06-25,,,Quant,QNT,14612493.0,,91.1634223646
Token452159,0xA735A3AF76CC30791C61c10d585833829d36CBe0,Token,0.057374,,,,imgnAI,IMGNAI,1000000000.0,,0.0
Token452332,0xe45b4a84E0aD24B8617a489d743c52B84B7aCeBE,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token452470,0xEC8F37Fcb168C44f89Fc01021683ce5c11234Ad7,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token453276,0xdAC17F958D2ee523a2206206994597C13D831ec7,Token,1.32,,,,Tether USDt,USDT,140478740215.5961,,0.0
Token453411,0x5283D291DBCF85356A21bA090E6db59121208b44,Token,0.0,0,0.0,0.0,Blur,BLUR,0.0,0.0,0.0
Token454277,0xF0d33BeDa4d734C72684b5f9abBEbf715D0a7935,Token,0.229348,,,,NuNet,NTX,1000000000.0,,0.0
Token454295,0x469506E58D4d0D7ABB476Dd5C0a999D46723351F,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token454425,0xAAf6Ce6a366881ADC2C3eF29B0C6f7382815ed33,Token,0.0,0,0.0,0.0,wTwitter Coin,wTWTC,0.0,0.0,0.0
Token454464,0x24E2adF50C49633039757ab08bFF489b7C5bD6B2,Token,0.0,0,0.0,0.0,SushiSwap LP Token,SLP,0.0,0.0,0.0
Token454610,0x55D5c232D921B9eAA6b37b5845E439aCD04b4DBa,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token455449,0xB3D994978D2Bc50d2ce74c45FcD923E7C9c06730,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token455566,0xa886576feD10723401386697AAdf777E1D4Bca05,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token455582,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Token,0.0,0,0.0,0.0,Conic Finance,CNC,0.0,0.0,0.0
Token455766,0x66761Fa41377003622aEE3c7675Fc7b5c1C2FaC5,Token,2.55,,268.6,196.07,Clearpool,CPOOL,1000000000.0,1135946.0,0.0
Token456048,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,Token,1.17,,,,USDC,USDC,55042712085.21438,,0.0
Token456177,0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,Token,0.51083,,,,HEX,HEX,604017176432.019,0.0,0.0
Token456204,0x4bB0925FA50Da9B4c8936869433b48e78cCc5c13,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token456295,0x4acfB448C585F6e1e8F2aB2bD415F399bD1B8e09,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token456513,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token456964,0x8C56ca4F7Eb12A7C217bBe36cC427a9dcB66f590,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token457040,0x5B7533812759B45C2B44C19e320ba2cD2681b542,Token,1.46,2017-12-21,,,SingularityNET,AGIX,465202872.8099505,,0.0
Token457432,0xA6237656D15A7f15348c7Fd9A0e11551c516E378,Token,0.0,0,0.0,0.0,Uniswap V2,UNI-V2,0.0,0.0,0.0
Token457484,0x04C17b9D3b29A78F7Bd062a57CF44FC633e71f85,Token,0.02042864,,,,IMPT,IMPT,1648321855.916555,,0.0
Token458059,0xe219a14e355c1Cb3f43594655A63488DA154E8Eb,Token,0.0,0,0.0,0.0,Nomiswap stable LPs,NMX-SLP-USDC-USDT,0.0,0.0,0.0
